mcp_server_name,Type,median_purpose_score,median_usage_guideline_score,median_limitation_score,median_parameter_explanation_score,median_examples_score,median_length_score
12306-mcp,community,3.33,1.83,1.33,1.00,1.67,2.33
airbnb,official,2.33,1.17,1.17,1.00,1.33,1.83
Airbnb MCP Server,official,2.17,1.00,1.00,1.00,1.33,1.67
Ant Design Components MCP Service,community,2.83,2.67,1.33,1.00,1.50,2.17
arxiv-mcp-server,community,2.00,1.00,1.00,1.00,1.00,1.33
Asset Price MCP Server (asset-price-mcp),community,2.67,1.00,1.00,1.00,1.67,2.00
Baige (ygocdb.com) MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
basic-memory,official,2.67,1.33,1.33,1.00,1.67,2.00
Bazi MCP (八字 MCP) by Cantian AI,community,2.00,1.00,1.00,1.00,1.00,1.33
Bing_CN_MCP,community,2.33,1.00,1.00,1.00,1.00,1.50
BioMCP: Biomedical Model Context Protocol,official,4.33,3.50,2.67,1.50,3.50,3.67
blender,community,2.67,1.33,1.33,2.67,1.33,2.00
book,community,3.00,2.00,1.67,3.33,1.67,2.17
calculator,community,2.00,1.00,1.00,1.00,1.00,1.33
Calculator MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
Context7 MCP - Up-to-date Code Docs For Any Prompt,official,4.17,4.00,2.83,1.50,3.50,3.67
crm_bench,community,3.00,1.33,1.33,1.00,1.67,2.00
Crypto Price & Market Analysis MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
Data.gov MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
date,community,3.33,1.00,1.67,1.00,1.67,2.00
Deepwiki MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
Desktop Commander MCP,community,4.33,3.67,4.00,1.67,3.33,4.00
docker-mcp,community,2.00,1.00,1.00,1.00,1.00,1.33
Drawing MCP Server,community,2.50,1.00,1.00,1.00,1.00,1.67
duckduckgo-search MCP Server,community,4.00,3.00,3.00,1.67,4.67,3.33
echo,community,2.00,1.00,1.00,1.00,1.00,1.33
Excel MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
Exchange Rate MCP Server,community,3.67,1.67,1.67,1.33,2.33,2.67
fetch,community,2.67,1.67,1.33,1.00,1.33,2.00
Fetch MCP Server,official,2.67,1.67,1.33,1.00,1.33,2.00
filesystem,official,4.00,2.67,3.17,1.33,3.00,3.33
Filesystem MCP Server,official,4.00,2.67,3.33,1.50,3.00,3.33
firecrawl-mcp,official,4.33,4.67,3.50,2.83,4.17,4.67
github,official,2.00,1.00,1.00,1.00,1.00,1.33
google-maps,community,2.00,1.00,1.00,1.00,1.00,1.33
google-search,community,2.67,1.33,1.33,2.67,1.67,1.67
google-sheets,community,3.00,2.00,1.67,3.00,2.67,2.50
Hacker News MCP Server,official,2.00,1.00,1.00,1.00,1.00,1.33
healthcare,community,3.00,2.00,1.67,3.33,1.67,2.00
HowToCook-MCP Server,community,2.33,1.00,1.00,1.00,1.00,1.67
Hugeicons MCP Server,official,2.33,1.33,1.00,1.00,1.00,1.33
investor,community,2.00,1.00,1.00,1.00,1.00,1.33
Knowledge Graph Memory Server,official,2.00,1.00,1.00,1.00,1.00,1.33
kospi-kosdaq-stock-server,community,3.67,2.00,2.00,3.67,3.33,3.00
magicuidesign_mcp,official,2.00,1.00,1.00,1.00,1.00,1.67
Maven Dependencies MCP Server,community,2.33,1.00,1.00,1.00,1.00,2.00
MCP Chess Server,community,3.17,1.67,1.67,2.33,2.00,2.17
MCP Image Extractor,community,4.00,2.00,1.33,1.00,3.00,2.67
MCP Music Analysis,community,2.67,1.83,2.17,1.83,2.00,2.00
MCP NPX Fetch,community,2.33,1.00,1.00,1.00,1.00,1.33
MCP OKPPT Server,community,2.83,1.17,1.33,2.50,1.33,2.33
MCP Server Chart,official,3.00,1.67,1.33,1.00,1.67,2.00
MCP Server LeetCode,community,1.00,1.00,1.00,1.00,1.00,1.00
MCP Server: Mermaid Validator,community,2.67,1.33,1.33,1.00,1.00,1.67
MCP TaskManager,community,3.33,2.33,2.67,1.00,2.83,2.67
MCP Text Editor Server,community,4.00,3.00,3.50,1.83,3.17,3.67
MCP Weather Free,community,3.33,2.00,2.00,3.67,2.33,2.67
MCP Yahoo Finance,community,2.00,1.00,1.00,1.00,1.00,1.33
mcp-github-trending MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
mcp-google-search,community,2.17,1.17,1.17,1.00,1.00,1.33
mcp-server-git: A git MCP server,community,2.00,1.00,1.00,1.00,1.00,1.33
mcp-simple-arxiv,community,2.50,1.17,1.17,1.00,1.33,1.83
Met Museum MCP Server,community,2.33,1.33,1.33,1.00,1.00,1.67
MetaTag Genie,community,2.33,1.00,1.00,1.00,1.00,1.67
Mindmap MCP Server,community,2.67,1.33,1.67,2.67,1.33,2.00
nationalparks,community,2.00,1.00,1.00,1.00,1.00,1.67
notion,official,1.67,1.00,1.00,1.00,1.00,1.33
NPM Sentinel MCP,community,2.00,1.00,1.00,1.00,1.00,1.33
Office-PowerPoint-MCP-Server,community,2.00,1.00,1.00,1.00,1.00,1.33
Office-Word-MCP-Server,community,2.00,1.00,1.00,1.00,1.00,1.33
OP.GG MCP Server,official,2.00,1.00,1.00,1.00,1.00,1.33
OpenStreetMap (OSM) MCP Server,community,4.67,3.00,2.33,4.00,4.67,4.67
paypal-official,official,2.00,1.00,1.00,1.00,1.00,1.17
paypal-unofficial,community,3.17,1.83,1.50,1.00,2.50,2.33
PDF Reader MCP Server,official,2.67,1.67,1.33,1.00,1.33,2.00
playwright,official,2.00,1.00,1.00,1.00,1.00,1.33
Playwright MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
playwright-mcp-server-executeautomation,community,2.00,1.00,1.00,1.00,1.00,1.33
postgres,community,2.00,1.00,1.00,1.00,1.00,1.33
Puppeteer,community,2.00,1.00,1.00,1.00,1.00,1.33
Random Number MCP,community,3.33,2.00,2.00,3.33,2.33,2.33
Sequential Thinking MCP Server,official,5.00,5.00,3.00,5.00,4.00,5.00
shadcn-ui MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
Simple Document Processing MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
Sitemap MCP Server,community,2.17,1.17,1.17,1.00,1.00,1.50
slack,community,2.00,1.00,1.00,1.00,1.00,1.33
special_calculator,community,2.67,1.00,1.00,1.00,1.50,2.00
sports,community,3.00,2.00,1.67,3.17,1.67,2.17
sqlite,community,2.83,1.33,1.50,1.83,1.33,2.00
tavily-remote,official,4.50,3.50,2.50,1.33,4.00,3.67
time,official,2.00,1.00,1.00,1.00,1.00,1.33
travel_assistant,community,3.50,2.00,2.00,3.33,2.67,2.83
Trends Hub,community,2.67,1.00,1.00,1.00,1.00,2.00
weather,community,2.17,1.17,1.17,2.67,1.50,1.83
Web3 Research MCP,community,1.00,1.00,1.00,1.00,1.00,1.00
Whois MCP,community,2.00,1.00,1.00,1.00,1.00,1.33
wikipedia,community,2.33,1.00,1.00,2.33,1.33,2.00
Wikipedia MCP Server,community,2.00,1.00,1.00,1.00,1.00,1.33
Yahoo Finance MCP Server,community,2.67,1.33,1.33,1.00,1.67,2.00
yfinance,community,3.33,1.67,1.33,3.67,2.33,2.33
youtube,community,2.83,1.83,1.50,3.00,1.50,2.17
YouTube Transcript Server,community,2.33,1.33,1.33,1.00,1.00,1.33
鸣潮 MCP Server,community,3.00,2.00,2.00,3.00,2.33,2.33
brave-search,official,4.166666667,,,,,
ddg-search,community,2.333333333,,,,,
exa,official,3.166666667,,,,,
firecrawl-mcp,official,4.666666667,,,,,